"","date","equipment_type","ot_script_file","full_timecourse","plate_type","well","sample_type","sample_well","well_column","well_row","spot_type","spot_volume","name","colony_function","inputs_present","input_1_distance","input_type","input_concentration","replicate","absorbance","iteration","px_column","px_row","id","exposure","intensity","panel","point_value","mean","median","sd","max","min","n_saturated","prop_saturated","GFP","fold_change_G","fold_change_GN"
"17",20220623,"plate_imager",NA,TRUE,"6-well","A3","spot","E19",19,5,"receiver",1,"ZBD","bandpass",1,14.23024947,"IPTG",0.0075,1,0,1,1485,501,1,20000,3,"blue",0.0321681061051416,0.0319899900866623,0.0319856405117434,9.48980278397298e-05,0.0321574552927015,0.0318176037916992,0,0,0,NA,NA
"18",20220623,"plate_imager",NA,TRUE,"6-well","A3","spot","E24",24,5,"receiver",1,"ZBD","bandpass",1,10.0623059,"IPTG",0.0075,1,0,1,1845,501,1,20000,3,"blue",0.0261958585840188,0.0262905269815778,0.0262986071663531,0.000129193282897889,0.0264831553118565,0.0260254603592634,0,0,0,NA,NA
"19",20220623,"plate_imager",NA,TRUE,"6-well","A1","spot","F4",4,6,"receiver",1,"ZBD","bandpass",1,9,"IPTG",0.03,1,0,1,405,573,1,20000,3,"blue",0.0315129803268991,0.0314535979494052,0.0314644707733454,0.000134798776994056,0.0316595318511967,0.0312075923889196,0,0,0,NA,NA
"20",20220623,"plate_imager",NA,TRUE,"6-well","A2","spot","F13",13,6,"receiver",1,"ZBD","bandpass",1,9,"IPTG",0.015,1,0,1,1053,573,1,20000,3,"blue",0.035478673069212,0.035133857433368,0.0351121067189936,0.00011406273071521,0.0353820929377606,0.0349712450994498,0,0,0,NA,NA
"21",20220623,"plate_imager",NA,TRUE,"6-well","A3","spot","F22",22,6,"receiver",1,"ZBD","bandpass",1,9,"IPTG",0.0075,1,0,1,1701,573,1,20000,3,"blue",0.0293241166975428,0.0293924394799622,0.0293855901764563,0.000178435197879943,0.0297011999091386,0.0291139094557882,0,0,0,NA,NA
"22",20220623,"plate_imager",NA,TRUE,"6-well","A1","spot","G2",2,7,"receiver",1,"ZBD","bandpass",1,16.22498074,"IPTG",0.03,1,0,1,261,645,1,20000,3,"blue",0.0281726375692881,0.0283812196931263,0.0283985984044416,0.000207248820596411,0.0287156983331363,0.0278957729964928,0,0,0,NA,NA
"23",20220623,"plate_imager",NA,TRUE,"6-well","A2","spot","G11",11,7,"receiver",1,"ZBD","bandpass",1,16.22498074,"IPTG",0.015,1,0,1,909,645,1,20000,3,"blue",0.03542778978973,0.0353348072271036,0.0353364914076107,0.000112095993596799,0.0355260253365602,0.0351335171872494,0,0,0,NA,NA
"24",20220623,"plate_imager",NA,TRUE,"6-well","A3","spot","G20",20,7,"receiver",1,"ZBD","bandpass",1,16.22498074,"IPTG",0.0075,1,0,1,1557,645,1,20000,3,"blue",0.0317482097966528,0.0315716242912011,0.0315715695062066,0.000110688013858714,0.0317530886433686,0.0313689298546927,0,0,0,NA,NA
"25",20220623,"plate_imager",NA,TRUE,"6-well","B1","spot","J2",2,10,"receiver",1,"ZBD","bandpass",1,16.22498074,"IPTG",0.00375,1,0,1,261,861,1,20000,3,"blue",0.028167711539481,0.0281643390245506,0.0281663407530902,0.000155112512098741,0.0284426215770194,0.0278865877534765,0,0,0,NA,NA
"26",20220623,"plate_imager",NA,TRUE,"6-well","B2","spot","J11",11,10,"receiver",1,"ZBD","bandpass",1,16.22498074,"IPTG",0.00188,1,0,1,909,861,1,20000,3,"blue",0.035027481280247,0.0352365495049476,0.0352319227521914,8.26119414534274e-05,0.0353909263025915,0.0350879520608914,0,0,0,NA,NA
"27",20220623,"plate_imager",NA,TRUE,"6-well","B3","spot","J20",20,10,"receiver",1,"ZBD","bandpass",1,16.22498074,"IPTG",0,1,0,1,1557,861,1,20000,3,"blue",0.0310073864531777,0.0313468425263925,0.031351584180948,9.17020469779982e-05,0.0315028531815231,0.0311625758909652,0,0,0,NA,NA
"28",20220623,"plate_imager",NA,TRUE,"6-well","B1","spot","K4",4,11,"receiver",1,"ZBD","bandpass",1,9,"IPTG",0.00375,1,0,1,405,933,1,20000,3,"blue",0.0312245122287815,0.0309310872292683,0.0309201402522536,0.000170276941089902,0.0312548539635485,0.0306689329910119,0,0,0,NA,NA
"29",20220623,"plate_imager",NA,TRUE,"6-well","B2","spot","K13",13,11,"receiver",1,"ZBD","bandpass",1,9,"IPTG",0.00188,1,0,1,1053,933,1,20000,3,"blue",0.0349297222814941,0.0352534504074062,0.0352486619986771,9.07499960437833e-05,0.0354296330028494,0.0350989101326585,0,0,0,NA,NA
"30",20220623,"plate_imager",NA,TRUE,"6-well","B3","spot","K22",22,11,"receiver",1,"ZBD","bandpass",1,9,"IPTG",0,1,0,1,1701,933,1,20000,3,"blue",0.0289855288921172,0.0291654868931276,0.0291699997736769,0.000177062062098005,0.0294644306119645,0.0288761200185544,0,0,0,NA,NA
"31",20220623,"plate_imager",NA,TRUE,"6-well","B1","spot","L1",1,12,"receiver",1,"ZBD","bandpass",1,14.23024947,"IPTG",0.00375,1,0,1,189,1005,1,20000,3,"blue",0.0260775651330792,0.0260037203409493,0.0260039930532607,0.000238172281876772,0.0264346893242015,0.0256221306447506,0,0,0,NA,NA
"32",20220623,"plate_imager",NA,TRUE,"6-well","B1","spot","L6",6,12,"receiver",1,"ZBD","bandpass",1,10.0623059,"IPTG",0.00375,1,0,1,549,1005,1,20000,3,"blue",0.0319754615181,0.0321140037224192,0.0321258688981628,0.000106261979761482,0.0322835884772193,0.0319193787128804,0,0,0,NA,NA
"33",20220623,"plate_imager",NA,TRUE,"6-well","B2","spot","L10",10,12,"receiver",1,"ZBD","bandpass",1,14.23024947,"IPTG",0.00188,1,0,1,837,1005,1,20000,3,"blue",0.0344754377734914,0.0342056671044726,0.0342094992330902,9.3816895519269e-05,0.0343618522572649,0.0340406423217966,0,0,0,NA,NA
"34",20220623,"plate_imager",NA,TRUE,"6-well","B2","spot","L15",15,12,"receiver",1,"ZBD","bandpass",1,10.0623059,"IPTG",0.00188,1,0,1,1197,1005,1,20000,3,"blue",0.0348437937068969,0.0343332053999439,0.034336204783694,0.000121164711719984,0.0345637191280705,0.0341243505140233,0,0,0,NA,NA
"35",20220623,"plate_imager",NA,TRUE,"6-well","B3","spot","L19",19,12,"receiver",1,"ZBD","bandpass",1,14.23024947,"IPTG",0,1,0,1,1485,1005,1,20000,3,"blue",0.0319429143887246,0.0315854784920673,0.0315963210898095,0.000109163986193784,0.031766357528619,0.0313650030510397,0,0,0,NA,NA
"36",20220623,"plate_imager",NA,TRUE,"6-well","B3","spot","L24",24,12,"receiver",1,"ZBD","bandpass",1,10.0623059,"IPTG",0,1,0,1,1845,1005,1,20000,3,"blue",0.0265441966951181,0.0261324143312305,0.0261326795850669,9.91334837729236e-05,0.026313568351702,0.025946592171018,0,0,0,NA,NA
"37",20220623,"plate_imager",NA,TRUE,"6-well","B1","spot","M3",3,13,"receiver",1,"ZBD","bandpass",1,4.5,"IPTG",0.00375,1,0,1,333,1077,1,20000,3,"blue",0.0286869352689365,0.0288990532916803,0.0288896733331517,0.000131229276597838,0.0291405548776372,0.0286436601371612,0,0,0,NA,NA
"38",20220623,"plate_imager",NA,TRUE,"6-well","B2","spot","M12",12,13,"receiver",1,"ZBD","bandpass",1,4.5,"IPTG",0.00188,1,0,1,981,1077,1,20000,3,"blue",0.0336405886895225,0.0337372437341983,0.0337384102351763,9.59042787039471e-05,0.0339163655285164,0.033564079989622,0,0,0,NA,NA
"39",20220623,"plate_imager",NA,TRUE,"6-well","B3","spot","M21",21,13,"receiver",1,"ZBD","bandpass",1,4.5,"IPTG",0,1,0,1,1629,1077,1,20000,3,"blue",0.0298335248537478,0.0295655550338999,0.0295469587157362,0.000131090357288781,0.0298236687539688,0.0293596862974035,0,0,0,NA,NA
"40",20220623,"plate_imager",NA,TRUE,"6-well","B1","spot","N5",5,14,"receiver",1,"ZBD","bandpass",1,6.363961031,"IPTG",0.00375,1,0,1,477,1149,1,20000,3,"blue",0.0298679564925498,0.0295165225397394,0.02951457889992,0.000124566958822501,0.029730145124245,0.0292939468480311,0,0,0,NA,NA
"41",20220623,"plate_imager",NA,TRUE,"6-well","B2","spot","N14",14,14,"receiver",1,"ZBD","bandpass",1,6.363961031,"IPTG",0.00188,1,0,1,1125,1149,1,20000,3,"blue",0.0321640610364064,0.0323437596575743,0.0323428455770691,0.000107389849776744,0.0325668266451862,0.0321564941553417,0,0,0,NA,NA
"42",20220623,"plate_imager",NA,TRUE,"6-well","B3","spot","N23",23,14,"receiver",1,"ZBD","bandpass",1,6.363961031,"IPTG",0,1,0,1,1773,1149,1,20000,3,"blue",0.0267206245866734,0.0265862275194227,0.0265747940773707,8.2039929540319e-05,0.0267435787477284,0.0264504808456609,0,0,0,NA,NA
"43",20220623,"plate_imager",NA,TRUE,"6-well","B1","spot","O2",2,15,"receiver",1,"ZBD","bandpass",1,12.72792206,"IPTG",0.00375,1,0,1,261,1221,1,20000,3,"blue",0.0256661125879421,0.0257252102601266,0.0257013367134739,0.000173701701151974,0.0260844122140794,0.0254536139590026,0,0,0,NA,NA
"44",20220623,"plate_imager",NA,TRUE,"6-well","B2","spot","O11",11,15,"receiver",1,"ZBD","bandpass",1,12.72792206,"IPTG",0.00188,1,0,1,909,1221,1,20000,3,"blue",0.0305510816768132,0.0307418248267374,0.0307583671124273,0.000226478619758023,0.0310955168982815,0.0303057212572432,0,0,0,NA,NA
"45",20220623,"plate_imager",NA,TRUE,"6-well","B3","spot","O20",20,15,"receiver",1,"ZBD","bandpass",1,12.72792206,"IPTG",0,1,0,1,1557,1221,1,20000,3,"blue",0.0282156939928406,0.0281675979353328,0.0281474149380361,0.000146787107319625,0.0284930196310739,0.0279326581573243,0,0,0,NA,NA
"46",20220623,"plate_imager",NA,TRUE,"6-well","B1","spot","P4",4,16,"receiver",1,"ZBD","bandpass",1,13.5,"IPTG",0.00375,1,0,1,405,1293,1,20000,3,"blue",0.0256763050141223,0.0259618721672122,0.0259546450347129,0.000138739433428256,0.026228161849513,0.0257396255514393,0,0,0,NA,NA
"47",20220623,"plate_imager",NA,TRUE,"6-well","B2","spot","P13",13,16,"receiver",1,"ZBD","bandpass",1,13.5,"IPTG",0.00188,1,0,1,1053,1293,1,20000,3,"blue",0.0292277212228813,0.0290580266275742,0.0290643409943457,0.000192019786596814,0.0294371364442454,0.028732434786961,0,0,0,NA,NA
"48",20220623,"plate_imager",NA,TRUE,"6-well","B3","spot","P22",22,16,"receiver",1,"ZBD","bandpass",1,13.5,"IPTG",0,1,0,1,1701,1293,1,20000,3,"blue",0.024816597742266,0.025341438078907,0.0253205964567979,0.000167322557562876,0.0256401514576245,0.025060002589944,0,0,0,NA,NA
"49",20220623,"plate_imager",NA,TRUE,"6-well","A1","spot","A4",4,1,"receiver",1,"ZBD","bandpass",1,13.5,"IPTG",0.03,1,-0.00113513734899504,2,405,213,6,20000,3,"blue",0.0274847100744477,0.0275535457062667,0.0275462251749385,0.000140118402230956,0.0278116487472248,0.0273162669139482,0,0,-0.0133904303077123,0.889285424725832,1.05525183333015
"50",20220623,"plate_imager",NA,TRUE,"6-well","A2","spot","A13",13,1,"receiver",1,"ZBD","bandpass",1,13.5,"IPTG",0.015,1,-0.000671861107494983,2,1053,213,6,20000,3,"blue",0.0301150497689534,0.0303357372970083,0.0303065421049176,0.000192051224980188,0.0306879270301391,0.0300257070116264,0,0,-0.0119220802451119,0.791769342041491,1.58738595842742
"51",20220623,"plate_imager",NA,TRUE,"6-well","A3","spot","A22",22,1,"receiver",1,"ZBD","bandpass",1,13.5,"IPTG",0.0075,1,-0.00246765764248933,2,1701,213,6,20000,3,"blue",0.0260849627708382,0.0260243109287976,0.0260493982684789,0.000225494867186638,0.0263458072863864,0.0255318109251979,0,0,-0.0128086202042968,0.850646244876059,0.464330740990127
"52",20220623,"plate_imager",NA,TRUE,"6-well","A1","spot","B2",2,2,"receiver",1,"ZBD","bandpass",1,12.72792206,"IPTG",0.03,1,-0.000837410599745307,2,261,285,6,20000,3,"blue",0.0272853442187839,0.0268009440957782,0.0268001505500895,0.000146295875684543,0.0270491268918438,0.0265476996732,0,0,-0.00759334340482165,0.504289216975851,0.811156368904631
"53",20220623,"plate_imager",NA,TRUE,"6-well","A2","spot","B11",11,2,"receiver",1,"ZBD","bandpass",1,12.72792206,"IPTG",0.015,1,-0.000263657854455048,2,909,285,6,20000,3,"blue",0.0320068434161668,0.0317656692104473,0.0318001799215894,0.000173320925719812,0.0320068317349306,0.0314507016968342,0,0,-0.0103264732858697,0.68580187274904,3.50365477569107
"54",20220623,"plate_imager",NA,TRUE,"6-well","A3","spot","B20",20,2,"receiver",1,"ZBD","bandpass",1,12.72792206,"IPTG",0.0075,1,-0.00089401435629789,2,1557,285,6,20000,3,"blue",0.0289352171776981,0.0289648726121393,0.0289702177237514,0.000116589407221528,0.0291694508242694,0.0287438316056412,0,0,-0.015165355216932,1.00716175995031,1.51746292656586
"55",20220623,"plate_imager",NA,TRUE,"6-well","A1","spot","C5",5,3,"receiver",1,"ZBD","bandpass",1,6.363961031,"IPTG",0.03,1,-0.000332631704490864,2,477,357,6,20000,3,"blue",0.0300634557366815,0.0302270014581156,0.0302132734683853,0.000126449618315264,0.0304537280876351,0.0300128648617019,0,0,-0.0113791401438684,0.75571159726111,3.06024220309196
"56",20220623,"plate_imager",NA,TRUE,"6-well","A2","spot","C14",14,3,"receiver",1,"ZBD","bandpass",1,6.363961031,"IPTG",0.015,1,-0.00066849828488803,2,1125,357,6,20000,3,"blue",0.0327713351578498,0.0328023889246993,0.0328044449869532,0.00010962400795051,0.0329723441146034,0.0325968396916536,0,0,-0.0133127192516804,0.884124477102711,1.78146162372223
"57",20220623,"plate_imager",NA,TRUE,"6-well","A3","spot","C23",23,3,"receiver",1,"ZBD","bandpass",1,6.363961031,"IPTG",0.0075,1,-0.00119242887718889,2,1773,357,6,20000,3,"blue",0.0266317911103095,0.0267675780946569,0.0267655224595309,9.55733099610305e-05,0.0269428877494473,0.0265879735295817,0,0,-0.012527839488213,0.831999032454989,0.939839493371552
"58",20220623,"plate_imager",NA,TRUE,"6-well","A1","spot","D3",3,4,"receiver",1,"ZBD","bandpass",1,4.5,"IPTG",0.03,1,-0.00134130890197846,2,333,429,6,20000,3,"blue",0.0291926583145203,0.0293078539784146,0.0293034409134989,0.000163735516455383,0.0295745017726312,0.0290278332744862,0,0,-0.0182995954880294,1.21531296395384,1.22045754908586
"59",20220623,"plate_imager",NA,TRUE,"6-well","A2","spot","D12",12,4,"receiver",1,"ZBD","bandpass",1,4.5,"IPTG",0.015,1,-2.63960630096919e-06,2,981,429,6,20000,3,"blue",0.0337418596972575,0.0339022800205589,0.033901564829455,8.78282735091827e-05,0.0340531915442416,0.0337461656446331,0,0,-0.0102924946043773,0.683545280129671,348.812055797441
"60",20220623,"plate_imager",NA,TRUE,"6-well","A3","spot","D21",21,4,"receiver",1,"ZBD","bandpass",1,4.5,"IPTG",0.0075,1,-0.0010530528982522,2,1629,429,6,20000,3,"blue",0.0301565909205783,0.0295903201889238,0.0295855869063849,0.000163544886776092,0.0299006199529161,0.029305815864344,0,0,-0.0132341264597641,0.878904971625022,1.12422978636773
"61",20220623,"plate_imager",NA,TRUE,"6-well","A1","spot","E1",1,5,"receiver",1,"ZBD","bandpass",1,14.23024947,"IPTG",0.03,1,-0.00114251294150865,2,189,501,6,20000,3,"blue",0.0265742362495018,0.0265640159383998,0.0265928051774415,0.000189655740919833,0.0269161793550479,0.0261769943189669,0,0,-0.0155491373051182,1.03264950078104,1.21746130181443
